epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,50593.1,1.13859,2.07282,0.92724,0.80838,0.67325,0.71812,0.46788,1.58878,4.25506,1.07598,0.000104537,0.000104537,0.000104537
98,51109.6,1.13106,2.05702,0.92727,0.80711,0.67393,0.71817,0.46869,1.58892,4.23097,1.07518,9.70575e-05,9.70575e-05,9.70575e-05
99,51630.7,1.12223,2.03481,0.92635,0.80448,0.6724,0.71717,0.46863,1.58597,4.26316,1.07532,8.98581e-05,8.98581e-05,8.98581e-05
100,52147.4,1.12044,2.0272,0.92483,0.80573,0.67301,0.71652,0.46849,1.5875,4.22896,1.07501,8.29431e-05,8.29431e-05,8.29431e-05
101,52660.6,1.13445,2.05984,0.92752,0.80725,0.67438,0.71779,0.46907,1.58627,4.24345,1.07587,7.63174e-05,7.63174e-05,7.63174e-05
102,53177.5,1.12128,2.04011,0.92615,0.80955,0.67213,0.71711,0.46835,1.58661,4.2323,1.07485,6.99855e-05,6.99855e-05,6.99855e-05
103,53697.6,1.12645,2.04588,0.92794,0.80737,0.67355,0.71734,0.46836,1.59159,4.22853,1.0766,6.39518e-05,6.39518e-05,6.39518e-05
104,54215.8,1.12194,2.04301,0.92516,0.80471,0.67488,0.71777,0.46874,1.58594,4.23641,1.07639,5.82203e-05,5.82203e-05,5.82203e-05
105,54735.6,1.12194,2.04053,0.92698,0.8071,0.67308,0.71833,0.46961,1.58334,4.24581,1.07513,5.2795e-05,5.2795e-05,5.2795e-05
106,55252.3,1.12264,2.03007,0.92138,0.81016,0.67143,0.71885,0.47017,1.58119,4.23427,1.07304,4.76796e-05,4.76796e-05,4.76796e-05
107,55767.9,1.12098,2.03824,0.92475,0.80917,0.67238,0.71905,0.47009,1.58538,4.24065,1.07445,4.28777e-05,4.28777e-05,4.28777e-05
108,56286.3,1.11213,2.01551,0.92236,0.8079,0.67376,0.71891,0.46993,1.58844,4.24511,1.07511,3.83925e-05,3.83925e-05,3.83925e-05
109,56799.1,1.13117,2.0521,0.92545,0.80923,0.67126,0.71839,0.46964,1.5878,4.25857,1.07453,3.4227e-05,3.4227e-05,3.4227e-05
110,57315.9,1.10648,1.99394,0.92198,0.80815,0.67325,0.7187,0.46925,1.58724,4.268,1.07423,3.03842e-05,3.03842e-05,3.03842e-05
111,57774.9,1.08336,1.93022,0.91999,0.80144,0.67702,0.71613,0.46737,1.5897,4.3326,1.07797,2.68667e-05,2.68667e-05,2.68667e-05
112,58234.3,1.08186,1.91398,0.92114,0.80006,0.67706,0.71502,0.46634,1.59204,4.37875,1.08055,2.36769e-05,2.36769e-05,2.36769e-05
113,58695,1.06789,1.87244,0.91462,0.80009,0.6755,0.71443,0.46556,1.59428,4.41478,1.08198,2.08169e-05,2.08169e-05,2.08169e-05
114,59154.6,1.06295,1.87277,0.91533,0.80187,0.67517,0.71482,0.4656,1.59484,4.44089,1.08373,1.82888e-05,1.82888e-05,1.82888e-05
115,59612.5,1.06686,1.88537,0.9151,0.80109,0.67475,0.71427,0.46516,1.59587,4.46432,1.08531,1.60943e-05,1.60943e-05,1.60943e-05
116,60072.4,1.06974,1.88693,0.91707,0.80061,0.67476,0.71437,0.46562,1.59505,4.47698,1.08588,1.42348e-05,1.42348e-05,1.42348e-05
117,60533,1.07453,1.8965,0.91898,0.80056,0.67444,0.71446,0.46598,1.59467,4.48158,1.08614,1.27117e-05,1.27117e-05,1.27117e-05
118,60991.9,1.06868,1.88134,0.91662,0.80058,0.67466,0.71486,0.46638,1.59438,4.48317,1.08594,1.15259e-05,1.15259e-05,1.15259e-05
119,61465.1,1.07017,1.89845,0.91654,0.80152,0.67456,0.71485,0.46634,1.59533,4.48687,1.08659,1.06784e-05,1.06784e-05,1.06784e-05
120,61991.7,1.07353,1.89917,0.9187,0.80196,0.67467,0.7149,0.46644,1.59513,4.49276,1.08665,1.01696e-05,1.01696e-05,1.01696e-05
