location,year,total_detections,valid_tiles,skipped_tiles,avg_detections_per_tile
Select_Citywalk,2021,1,144,0,0.006944444444444444
Shenzhen_Electronics,2021,0,87,57,0.0
Suzhou_Industrial_Park,2021,8,144,0,0.05555555555555555
Tijuana_Manufacturing,2021,3,43,101,0.06976744186046512
Tokyo,2021,6,135,9,0.044444444444444446
Trafford_Centre,2021,0,144,0,0.0
Westfield_London,2021,10,144,0,0.06944444444444445
Beijing,2022,1,89,55,0.011235955056179775
Bluewater,2022,3,144,0,0.020833333333333332
Centro_Oberhausen,2022,6,144,0,0.041666666666666664
Chicago,2022,23,80,64,0.2875
Detroit_Auto,2022,9,138,6,0.06521739130434782
Galeries_Lafayette,2022,1,144,0,0.006944444444444444
Johannesburg,2022,2,144,0,0.013888888888888888
La_Maquinista,2022,1,120,24,0.008333333333333333
London,2022,2,144,0,0.013888888888888888
Los_Angeles,2022,7,66,78,0.10606060606060606
Mall_of_Asia_Manila,2022,2,132,12,0.015151515151515152
Mumbai,2022,11,139,5,0.07913669064748201
New_York_City,2022,7,143,1,0.04895104895104895
Pacific_Mall_Delhi,2022,0,144,0,0.0
Paris,2022,1,144,0,0.006944444444444444
Port_of_Antwerp,2022,83,144,0,0.5763888888888888
Port_of_Busan,2022,15,14,130,1.0714285714285714
Port_of_Durban,2022,47,144,0,0.3263888888888889
Port_of_Hamburg,2022,67,97,47,0.6907216494845361
Port_of_Hong_Kong,2022,25,76,68,0.32894736842105265
Port_of_Houston,2022,96,82,62,1.170731707317073
Port_of_Jebel_Ali,2022,386,142,2,2.7183098591549295
Port_of_Lagos,2022,26,144,0,0.18055555555555555
Port_of_Long_Beach,2022,126,66,78,1.9090909090909092
Port_of_Los_Angeles,2022,126,66,78,1.9090909090909092
Port_of_Mombasa,2022,14,144,0,0.09722222222222222
Port_of_New_York_New_Jersey,2022,101,143,1,0.7062937062937062
Port_of_Ningbo,2022,180,119,25,1.5126050420168067
Port_of_Rotterdam,2022,234,144,0,1.625
Port_of_Salalah,2022,5,31,113,0.16129032258064516
Port_of_Savannah,2022,79,139,5,0.5683453237410072
Port_of_Shanghai,2022,64,89,55,0.7191011235955056
Port_of_Singapore,2022,70,144,0,0.4861111111111111
Port_of_Valencia,2022,45,37,107,1.2162162162162162
Pune_Hinjawadi,2022,0,144,0,0.0
Sao_Paulo,2022,3,144,0,0.020833333333333332
Select_Citywalk,2022,0,144,0,0.0
Shenzhen_Electronics,2022,0,90,54,0.0
Suzhou_Industrial_Park,2022,4,144,0,0.027777777777777776
Tijuana_Manufacturing,2022,1,53,91,0.018867924528301886
Tokyo,2022,3,110,34,0.02727272727272727
Trafford_Centre,2022,1,144,0,0.006944444444444444
Westfield_London,2022,2,144,0,0.013888888888888888
Beijing,2023,11,144,0,0.0763888888888889
Bluewater,2023,3,132,12,0.022727272727272728
Centro_Oberhausen,2023,2,144,0,0.013888888888888888
Chicago,2023,17,77,67,0.22077922077922077
Detroit_Auto,2023,0,136,8,0.0
Galeries_Lafayette,2023,1,144,0,0.006944444444444444
Johannesburg,2023,3,144,0,0.020833333333333332
La_Maquinista,2023,4,59,85,0.06779661016949153
London,2023,3,142,2,0.02112676056338028
Los_Angeles,2023,25,66,78,0.3787878787878788
Mall_of_Asia_Manila,2023,5,129,15,0.03875968992248062
Mumbai,2023,2,136,8,0.014705882352941176
New_York_City,2023,9,110,34,0.08181818181818182
Pacific_Mall_Delhi,2023,0,144,0,0.0
Paris,2023,1,144,0,0.006944444444444444
Port_of_Antwerp,2023,80,144,0,0.5555555555555556
Port_of_Busan,2023,10,10,134,1.0
Port_of_Durban,2023,25,144,0,0.1736111111111111
Port_of_Hamburg,2023,200,144,0,1.3888888888888888
Port_of_Hong_Kong,2023,19,16,128,1.1875
Port_of_Houston,2023,122,137,7,0.8905109489051095
Port_of_Jebel_Ali,2023,50,63,81,0.7936507936507936
Port_of_Lagos,2023,29,144,0,0.2013888888888889
Port_of_Long_Beach,2023,74,66,78,1.121212121212121
Port_of_Los_Angeles,2023,74,66,78,1.121212121212121
Port_of_Mombasa,2023,28,144,0,0.19444444444444445
Port_of_New_York_New_Jersey,2023,92,110,34,0.8363636363636363
Port_of_Ningbo,2023,97,111,33,0.8738738738738738
Port_of_Rotterdam,2023,213,142,2,1.5
Port_of_Salalah,2023,3029,140,4,21.635714285714286
Port_of_Savannah,2023,109,144,0,0.7569444444444444
Port_of_Shanghai,2023,97,140,4,0.6928571428571428
Port_of_Singapore,2023,192,144,0,1.3333333333333333
Port_of_Valencia,2023,38,39,105,0.9743589743589743
Pune_Hinjawadi,2023,2,144,0,0.013888888888888888
Sao_Paulo,2023,0,144,0,0.0
Select_Citywalk,2023,0,144,0,0.0
Shenzhen_Electronics,2023,1,91,53,0.01098901098901099
