location,year,total_detections,valid_tiles,skipped_tiles,avg_detections_per_tile
Westfield_London,2020,24,142,2,0.1690140845070422
Beijing,2021,0,82,62,0.0
Bluewater,2021,8,144,0,0.0555555555555555
Centro_Oberhausen,2021,2,144,0,0.0138888888888888
Chicago,2021,14,102,42,0.1372549019607843
Detroit_Auto,2021,9,144,0,0.0625
Galeries_Lafayette,2021,0,108,36,0.0
Johannesburg,2021,3,144,0,0.0208333333333333
La_Maquinista,2021,0,81,63,0.0
London,2021,10,144,0,0.0694444444444444
Los_Angeles,2021,8,63,81,0.1269841269841269
Mall_of_Asia_Manila,2021,4,127,17,0.0314960629921259
Mumbai,2021,2,129,15,0.0155038759689922
New_York_City,2021,1,98,46,0.010204081632653
Pacific_Mall_Delhi,2021,1,144,0,0.0069444444444444
Paris,2021,0,108,36,0.0
Port_of_Antwerp,2021,85,144,0,0.5902777777777778
Port_of_Busan,2021,90,54,90,1.6666666666666667
Port_of_Durban,2021,4,134,10,0.0298507462686567
Port_of_Hamburg,2021,61,144,0,0.4236111111111111
Port_of_Hong_Kong,2021,22,66,78,0.3333333333333333
Port_of_Houston,2021,88,77,67,1.1428571428571428
Port_of_Jebel_Ali,2021,429,142,2,3.0211267605633805
Port_of_Lagos,2021,30,144,0,0.2083333333333333
Port_of_Long_Beach,2021,63,63,81,1.0
Port_of_Los_Angeles,2021,63,63,81,1.0
Port_of_Mombasa,2021,30,144,0,0.2083333333333333
Port_of_New_York_New_Jersey,2021,52,99,45,0.5252525252525253
Port_of_Ningbo,2021,94,110,34,0.8545454545454545
Port_of_Rotterdam,2021,138,144,0,0.9583333333333334
Port_of_Salalah,2021,7,30,114,0.2333333333333333
Port_of_Savannah,2021,95,139,5,0.6834532374100719
Port_of_Shanghai,2021,70,140,4,0.5
Port_of_Singapore,2021,99,144,0,0.6875
Port_of_Valencia,2021,66,45,99,1.4666666666666666
Pune_Hinjawadi,2021,0,144,0,0.0
Sao_Paulo,2021,3,143,1,0.0209790209790209
Select_Citywalk,2021,1,144,0,0.0069444444444444
Shenzhen_Electronics,2021,0,87,57,0.0
Suzhou_Industrial_Park,2021,8,144,0,0.0555555555555555
Tijuana_Manufacturing,2021,3,43,101,0.0697674418604651
Tokyo,2021,6,135,9,0.0444444444444444
Trafford_Centre,2021,0,144,0,0.0
Westfield_London,2021,10,144,0,0.0694444444444444
Beijing,2022,1,89,55,0.0112359550561797
Bluewater,2022,3,144,0,0.0208333333333333
Centro_Oberhausen,2022,6,144,0,0.0416666666666666
Chicago,2022,23,80,64,0.2875
Detroit_Auto,2022,9,138,6,0.0652173913043478
Galeries_Lafayette,2022,1,144,0,0.0069444444444444
Johannesburg,2022,2,144,0,0.0138888888888888
La_Maquinista,2022,1,120,24,0.0083333333333333
London,2022,2,144,0,0.0138888888888888
Los_Angeles,2022,7,66,78,0.106060606060606
Mall_of_Asia_Manila,2022,2,132,12,0.0151515151515151
Mumbai,2022,11,139,5,0.079136690647482
New_York_City,2022,7,143,1,0.0489510489510489
Pacific_Mall_Delhi,2022,0,144,0,0.0
Paris,2022,1,144,0,0.0069444444444444
Port_of_Antwerp,2022,83,144,0,0.5763888888888888
Port_of_Busan,2022,15,14,130,1.0714285714285714
Port_of_Durban,2022,47,144,0,0.3263888888888889
Port_of_Hamburg,2022,67,97,47,0.6907216494845361
Port_of_Hong_Kong,2022,25,76,68,0.3289473684210526
Port_of_Houston,2022,96,82,62,1.170731707317073
Port_of_Jebel_Ali,2022,386,142,2,2.718309859154929
Port_of_Lagos,2022,26,144,0,0.1805555555555555
Port_of_Long_Beach,2022,126,66,78,1.9090909090909087
Port_of_Los_Angeles,2022,126,66,78,1.9090909090909087
Port_of_Mombasa,2022,14,144,0,0.0972222222222222
Port_of_New_York_New_Jersey,2022,101,143,1,0.7062937062937062
Port_of_Ningbo,2022,180,119,25,1.512605042016807
Port_of_Rotterdam,2022,234,144,0,1.625
Port_of_Salalah,2022,5,31,113,0.1612903225806451
Port_of_Savannah,2022,79,139,5,0.5683453237410072
Port_of_Shanghai,2022,64,89,55,0.7191011235955056
Port_of_Singapore,2022,70,144,0,0.4861111111111111
Port_of_Valencia,2022,45,37,107,1.2162162162162162
Pune_Hinjawadi,2022,0,144,0,0.0
Sao_Paulo,2022,3,144,0,0.0208333333333333
Select_Citywalk,2022,0,144,0,0.0
Shenzhen_Electronics,2022,0,90,54,0.0
Suzhou_Industrial_Park,2022,4,144,0,0.0277777777777777
Tijuana_Manufacturing,2022,1,53,91,0.0188679245283018
Tokyo,2022,3,110,34,0.0272727272727272
Trafford_Centre,2022,1,144,0,0.0069444444444444
Westfield_London,2022,2,144,0,0.0138888888888888
Beijing,2023,11,144,0,0.0763888888888889
Bluewater,2023,3,132,12,0.0227272727272727
Centro_Oberhausen,2023,2,144,0,0.0138888888888888
Chicago,2023,17,77,67,0.2207792207792207
Detroit_Auto,2023,0,136,8,0.0
Galeries_Lafayette,2023,1,144,0,0.0069444444444444
Johannesburg,2023,3,144,0,0.0208333333333333
La_Maquinista,2023,4,59,85,0.0677966101694915
London,2023,3,142,2,0.0211267605633802
Los_Angeles,2023,25,66,78,0.3787878787878788
Mall_of_Asia_Manila,2023,5,129,15,0.0387596899224806
Mumbai,2023,2,136,8,0.0147058823529411
New_York_City,2023,9,110,34,0.0818181818181818
Pacific_Mall_Delhi,2023,0,144,0,0.0
Paris,2023,1,144,0,0.0069444444444444
Port_of_Antwerp,2023,80,144,0,0.5555555555555556
Port_of_Busan,2023,10,10,134,1.0
Port_of_Durban,2023,25,144,0,0.1736111111111111
Port_of_Hamburg,2023,200,144,0,1.3888888888888888
Port_of_Hong_Kong,2023,19,16,128,1.1875
Port_of_Houston,2023,122,137,7,0.8905109489051095
Port_of_Lagos,2023,29,144,0,0.2013888888888889
Port_of_Long_Beach,2023,74,66,78,1.121212121212121
Port_of_Los_Angeles,2023,74,66,78,1.121212121212121
Port_of_Mombasa,2023,28,144,0,0.1944444444444444
Port_of_New_York_New_Jersey,2023,92,110,34,0.8363636363636363
Port_of_Ningbo,2023,97,111,33,0.8738738738738738
Port_of_Rotterdam,2023,213,142,2,1.5
Port_of_Savannah,2023,109,144,0,0.7569444444444444
Port_of_Shanghai,2023,97,140,4,0.6928571428571428
Port_of_Singapore,2023,192,144,0,1.3333333333333333
Port_of_Valencia,2023,38,39,105,0.9743589743589745
Pune_Hinjawadi,2023,2,144,0,0.0138888888888888
Sao_Paulo,2023,0,144,0,0.0
Select_Citywalk,2023,0,144,0,0.0
Shenzhen_Electronics,2023,1,91,53,0.0109890109890109
Suzhou_Industrial_Park,2023,3,144,0,0.0208333333333333
Tijuana_Manufacturing,2023,1,42,102,0.0238095238095238
Tokyo,2023,0,98,46,0.0
Trafford_Centre,2023,0,144,0,0.0
Westfield_London,2023,3,142,2,0.0211267605633802
Beijing,2024,5,132,12,0.0378787878787878
Bluewater,2024,6,132,12,0.0454545454545454
Centro_Oberhausen,2024,4,144,0,0.0277777777777777
Chicago,2024,12,85,59,0.1411764705882353
Detroit_Auto,2024,4,144,0,0.0277777777777777
Galeries_Lafayette,2024,1,103,41,0.0097087378640776
Johannesburg,2024,2,144,0,0.0138888888888888
La_Maquinista,2024,3,92,52,0.0326086956521739
London,2024,4,142,2,0.028169014084507
Los_Angeles,2024,9,65,79,0.1384615384615384
Mall_of_Asia_Manila,2024,0,136,8,0.0
Mumbai,2024,4,132,12,0.0303030303030303
New_York_City,2024,2,113,31,0.0176991150442477
Pacific_Mall_Delhi,2024,0,144,0,0.0
Paris,2024,1,103,41,0.0097087378640776
Port_of_Antwerp,2024,111,144,0,0.7708333333333334
Port_of_Busan,2024,14,8,136,1.75
Port_of_Durban,2024,23,134,10,0.1716417910447761
Port_of_Hamburg,2024,0,0,144,0.0
Port_of_Hong_Kong,2024,19,54,90,0.3518518518518518
Port_of_Houston,2024,166,141,3,1.177304964539007
Port_of_Jebel_Ali,2024,446,142,2,3.140845070422535
Port_of_Lagos,2024,21,144,0,0.1458333333333333
Port_of_Long_Beach,2024,68,65,79,1.0461538461538462
Port_of_Los_Angeles,2024,68,65,79,1.0461538461538462
Port_of_Mombasa,2024,8,144,0,0.0555555555555555
Port_of_New_York_New_Jersey,2024,60,112,32,0.5357142857142857
Port_of_Ningbo,2024,174,120,24,1.45
Port_of_Rotterdam,2024,138,142,2,0.971830985915493
Port_of_Salalah,2024,6,95,49,0.0631578947368421
Port_of_Savannah,2024,83,139,5,0.5971223021582733
Port_of_Shanghai,2024,81,88,56,0.9204545454545454
Port_of_Singapore,2024,153,144,0,1.0625
Port_of_Valencia,2024,34,40,104,0.85
Pune_Hinjawadi,2024,0,144,0,0.0
Sao_Paulo,2024,7,144,0,0.0486111111111111
Select_Citywalk,2024,0,144,0,0.0
Shenzhen_Electronics,2024,0,86,58,0.0
Suzhou_Industrial_Park,2024,8,144,0,0.0555555555555555
Tijuana_Manufacturing,2024,1,44,100,0.0227272727272727
Tokyo,2024,1,88,56,0.0113636363636363
Trafford_Centre,2024,1,144,0,0.0069444444444444
Westfield_London,2024,4,142,2,0.028169014084507
